product_id,client_id,transaction_id,transaction_datetime,regular_points_received,purchase_sum,store_id,product_quantity
975845001872,933583480872,919712560873,,,,564700922884,
204261324818,107074107320,127890383366,,,,209526046369,
117107059620,219605865183,851933369360,,,,712146823673,
104517689333,867021068837,214925182703,,,,757509584921,
504258672706,650627287278,120210631305,,,,205565887563,
418677900130,496638064657,114615927366,,,,100847586407,
354686573483,992945847408,747850691673,,,,576559021737,
451277055671,548020039613,581263806638,,,,811081363758,
200680378018,208253969831,312690458842,,,,346718785922,
425950075623,266447052020,416512219104,,,,781119228642,
445559265506,838066921269,877162223853,,,,162357401998,
995350581054,840848040242,200186467697,,,,568616642607,
378539343990,433316971746,471449482181,,,,541083999080,
580114937906,250730164828,991832085894,,,,522931979811,
219024808324,251917158466,609967343542,,,,462935518977,
692075086660,332338651495,419702521495,,,,219035008058,
471524704330,927300818976,158027848670,,,,253283920754,
866643186495,811512023947,499518586957,,,,541083999080,
961959259629,865946699588,494616263003,,,,632064406849,
780723514322,562391665976,516636386266,,,,757509584921,
691670177665,496089673220,343673096396,,,,392888615010,
936010530773,385625720978,252815552298,,,,564700922884,
445875583055,902832543228,221630397064,,,,889649922254,
798433101867,294228914731,459858293595,,,,628268833612,
680888942627,540381647683,114636998191,,,,656211529432,
521091194482,516418642601,633860678584,,,,439272290323,
322744343862,980941320727,928196752028,,,,505915037774,
896641733163,591388355369,425749265525,,,,912574563562,
271660312899,480643704168,598699593840,,,,946589176551,
837711114469,194752988173,771691839163,,,,950425999045,
307403710281,953285496681,548166380180,,,,462935518977,
926168655920,454765005074,406364743059,,,,483378344431,
286575969749,144136188045,213168555580,,,,424777496379,
271765738860,712867353223,460671916822,,,,391116653651,
531812568780,166656057183,859462393929,,,,528043314070,
911710814769,745668474900,984693959330,,,,240760600504,
786772689654,726657636762,805444349735,,,,528043314070,
852147537348,264933404220,943608668198,,,,517543492250,
743148312365,153484853033,681894683205,,,,305597371793,
612574434107,742501992638,284269911759,,,,871472192544,
622250781045,754018419733,182553816172,,,,700934678209,
179054842971,463313512855,679255999801,,,,628268833612,
629132130164,321134383668,109160081978,,,,232176237661,
541531167256,415343215233,960495993019,,,,738632103651,
636091323433,627106618351,154716286473,,,,632064406849,
619036579250,809517079926,768760589054,,,,208539507067,
549713195531,478944127048,890158705236,,,,517543492250,
848895471709,325578511626,130846547973,,,,540690333095,
985259675071,177488063935,321938427766,,,,392888615010,
890787794393,493811673391,747126695364,,,,919763430820,
587313255137,181345684750,366133329068,,,,568616642607,
642414851379,631578807669,734061451892,,,,483378344431,
687375262086,823005151147,762603828715,,,,294035037110,
293403632207,590005202880,345143514190,,,,115092353645,
179033909977,277238799712,956043926792,,,,465703030816,
