product_id,level_1,level_2,level_3,level_4,brand_name,product_name,product_price,first_issue_date
622668151081,,,,,DJI,DJI Mavic,,2020-05-08T20:03:39.000+07:00
270962596155,,,,,ZTE,Axon,,2021-02-06T22:40:40.000+07:00
306732079184,,,,,Logitech,Logitech MX,,2024-06-13T00:11:34.000+07:00
943390838610,,,,,Potensic,Potensic D85,,2021-02-18T23:32:24.000+07:00
333739328412,,,,,DJI,DJI Phantom,,2023-05-30T06:06:07.000+07:00
531577006724,,,,,Alcatel,Alcatel 1,,2020-04-05T05:59:36.000+07:00
349038091914,,,,,Snaptain,Snaptain SP3000,,2021-04-14T17:42:40.000+07:00
635104089007,,,,,LG,LG K,,2022-08-31T08:06:31.000+07:00
932906534646,,,,,Linksys,WRT,,2022-05-08T03:49:02.000+07:00
865903697684,,,,,Honor,Honor 50,,2023-01-21T14:54:18.000+07:00
233114851686,,,,,HP,Spectre,,2020-05-01T10:29:52.000+07:00
190966219612,,,,,Alcatel,Alcatel 1,,2024-04-12T17:08:21.000+07:00
727253929032,,,,,Honor,Honor 50,,2024-04-11T21:40:35.000+07:00
346249541307,,,,,Snaptain,Snaptain SP3000,,2024-03-17T01:24:25.000+07:00
411382432797,,,,,Canon,Canon EOS,,2020-11-21T00:00:51.000+07:00
299023973457,,,,,Infinix,Infinix Zero,,2025-04-22T16:06:37.000+07:00
284664540049,,,,,Sony,Alpha Camera,,2020-06-07T23:37:01.000+07:00
292473075247,,,,,Linksys,WRT,,2024-02-06T13:03:50.000+07:00
299016817098,,,,,Hubsan,Hubsan H501S,,2021-12-27T00:35:36.000+07:00
112758644219,,,,,HP,Pavilion,,2024-01-09T05:22:39.000+07:00
625841649538,,,,,Panasonic,Panasonic Toughbook,,2024-12-12T03:34:34.000+07:00
485840318310,,,,,BlackBerry,BlackBerry Motion,,2022-11-30T05:55:49.000+07:00
763181496676,,,,,Microsoft,Surface Pro,,2023-11-09T14:52:59.000+07:00
906029406233,,,,,Parrot,Parrot Bebop,,2021-04-12T17:47:50.000+07:00
317633315253,,,,,D-Link,DAP Series,,2023-09-28T00:06:11.000+07:00
401762055030,,,,,Google,Chromecast,,2023-07-01T21:31:02.000+07:00
281323228289,,,,,LG,LG Q,,2023-08-11T07:21:54.000+07:00
274500870927,,,,,Razer,Razer Blade,,2025-01-21T01:17:49.000+07:00
505909970205,,,,,Ruko,Ruko F11,,2022-05-09T04:41:34.000+07:00
174597575412,,,,,Xiaomi,Redmi Series,,2020-07-07T05:39:02.000+07:00
907713020998,,,,,Honor,Honor 50,,2023-10-30T21:54:09.000+07:00
758525983075,,,,,ZTE,Blade,,2022-12-25T05:05:41.000+07:00
633150762773,,,,,Panasonic,Panasonic Lumix,,2020-01-03T02:45:22.000+07:00
498050924171,,,,,Xiaomi,Mi Series,,2020-08-16T15:10:52.000+07:00
117384120545,,,,,Sony,Walkman,,2023-02-18T05:09:00.000+07:00
380442473007,,,,,TP-Link,Kasa,,2024-06-13T11:59:19.000+07:00
747811380752,,,,,ZTE,ZTE Blade,,2022-08-16T22:46:34.000+07:00
359532248435,,,,,Contixo,Contixo F22,,2022-06-05T03:19:10.000+07:00
713558266282,,,,,Dell,Alienware,,2020-08-08T01:03:14.000+07:00
754342043664,,,,,Motorola,Moto Z,,2022-01-31T23:48:06.000+07:00
497202991311,,,,,Honor,Honor 50,,2023-09-25T11:01:03.000+07:00
920404557355,,,,,Lenovo,ThinkPad,,2024-01-10T11:48:40.000+07:00
881938563600,,,,,Asus,ROG,,2024-10-14T12:13:16.000+07:00
522226158733,,,,,GoPro,GoPro MAX,,2023-10-29T11:21:20.000+07:00
234960625255,,,,,BlackBerry,BlackBerry Key2,,2021-06-18T07:40:52.000+07:00
396516943396,,,,,Hubsan,Hubsan H501S,,2020-07-18T17:18:07.000+07:00
420251803741,,,,,Acer,Swift,,2024-02-15T22:54:38.000+07:00
264570464937,,,,,Parrot,Parrot Bebop,,2020-12-18T11:46:47.000+07:00
324413388087,,,,,Motorola,Moto G,,2024-03-21T05:51:46.000+07:00
734109199619,,,,,HP,Spectre,,2020-11-26T23:16:15.000+07:00
972500711881,,,,,Toshiba,Toshiba Satellite,,2024-10-19T06:57:33.000+07:00
873272703393,,,,,HP,Envy,,2023-04-20T14:52:17.000+07:00
184650628545,,,,,DBPOWER,DBPOWER MJX X400W,,2020-06-09T14:01:53.000+07:00
260401876335,,,,,Logitech,Logitech G,,2020-01-23T02:22:56.000+07:00
237887438739,,,,,Linksys,Velop,,2020-11-28T08:12:17.000+07:00
306418457264,,,,,Asus,ZenBook,,2020-09-09T00:35:36.000+07:00
461705645354,,,,,LG,LG G,,2020-09-24T04:24:19.000+07:00
496737613927,,,,,Fujitsu,Fujitsu Lifebook,,2022-09-10T23:22:17.000+07:00
393795746101,,,,,Vivo,Vivo Y20,,2024-03-28T11:41:00.000+07:00
789355947723,,,,,Yuneec,Yuneec Typhoon,,2024-11-19T00:29:03.000+07:00
283932462269,,,,,Xiaomi,Black Shark,,2024-07-21T15:04:49.000+07:00
873814217006,,,,,LG,LG V,,2020-03-13T18:55:41.000+07:00
971565891134,,,,,HyperX,HyperX Alloy,,2024-07-17T09:07:59.000+07:00
146637755609,,,,,Snaptain,Snaptain SP350,,2023-07-06T08:32:58.000+07:00
336673934198,,,,,Logitech,Logitech G,,2022-05-10T02:42:49.000+07:00
588110937566,,,,,BlackBerry,BlackBerry Key2,,2021-12-06T11:46:00.000+07:00
549439695261,,,,,Microsoft,Surface Pro,,2022-10-02T06:34:34.000+07:00
511876573252,,,,,Yuneec,Yuneec Breeze,,2023-09-20T01:31:45.000+07:00
559609341214,,,,,DBPOWER,DBPOWER MJX X400W,,2024-12-21T22:10:52.000+07:00
648542529820,,,,,Ruko,Ruko F11 Pro,,2021-05-19T16:35:07.000+07:00
207314131576,,,,,Google,Pixel,,2020-02-02T14:09:35.000+07:00
183264441050,,,,,SteelSeries,SteelSeries Rival,,2021-02-06T13:26:10.000+07:00
266806193867,,,,,Samsung,Galaxy Watch,,2024-12-25T02:31:42.000+07:00
660734142671,,,,,Linksys,WRT,,2023-04-09T01:03:03.000+07:00
278830519648,,,,,D-Link,DIR Series,,2022-04-12T05:54:31.000+07:00
127011169791,,,,,LG,LG Q,,2025-02-26T01:22:33.000+07:00
827008869236,,,,,Holy Stone,Holy Stone HS720,,2022-04-02T00:33:53.000+07:00
815614922016,,,,,GoPro,GoPro HERO,,2021-07-19T07:36:44.000+07:00
489405710357,,,,,LG,LG V,,2023-12-04T16:52:26.000+07:00
476374809203,,,,,Epson,Epson EcoTank,,2023-01-17T04:55:57.000+07:00
614151734325,,,,,Infinix,Infinix Hot,,2021-04-05T16:03:44.000+07:00
436977788691,,,,,Corsair,Corsair M65,,2023-12-05T18:26:11.000+07:00
400421234855,,,,,Microsoft,Surface Pro,,2021-04-26T12:56:49.000+07:00
511226203119,,,,,BlackBerry,BlackBerry Key2,,2020-07-06T15:53:20.000+07:00
407879241641,,,,,Yuneec,Yuneec Breeze,,2022-01-18T06:16:25.000+07:00
977940942611,,,,,Asus,ZenBook,,2024-07-26T05:12:04.000+07:00
172363799824,,,,,Vivo,Vivo Y20,,2020-08-20T20:04:56.000+07:00
121916007209,,,,,Epson,Epson EcoTank,,2021-04-26T10:17:16.000+07:00
521060337234,,,,,Razer,Razer Phone,,2023-02-09T13:14:49.000+07:00
789186466940,,,,,Nokia,Nokia 5,,2024-10-22T06:33:00.000+07:00
515002295447,,,,,BlackBerry,BlackBerry Motion,,2020-07-07T15:16:31.000+07:00
380006810805,,,,,Lenovo,Legion,,2021-10-19T09:02:32.000+07:00
137705426009,,,,,Netgear,Orbi,,2021-07-20T18:51:06.000+07:00
247570144173,,,,,Xiaomi,Mi Series,,2024-10-08T00:48:38.000+07:00
978825563352,,,,,D-Link,DIR Series,,2023-01-03T04:15:58.000+07:00
116341029609,,,,,D-Link,DAP Series,,2022-09-05T21:09:14.000+07:00
