product_id,client_id,transaction_id,transaction_datetime,regular_points_received,purchase_sum,store_id,product_quantity
549511968221,991082602678,746351072152,,,,442913306389,
948677018715,931623172401,147432609851,,,,895777633332,
346249541307,419865959509,132893547753,,,,503701780032,
426234518785,374435388432,949508317580,,,,503701780032,
699722175350,579820212351,924821403546,,,,508880196397,
874714352779,563655481971,298509497634,,,,895777633332,
157251541162,881567261938,235721016392,,,,980650227241,
632898425380,813143777394,338942813499,,,,584184694094,
593739098189,369975016329,800403398077,,,,428978143672,
555309189496,317854313781,327836001618,,,,980650227241,
841973863051,530272985566,924034566437,,,,968418161890,
702105147645,227820128404,498508976973,,,,100022765885,
252044567707,562769622632,885994991754,,,,951343600238,
650576938648,573030261508,637806021760,,,,676735665994,
289965005813,763007162606,452655309482,,,,916252799486,
762793496664,279401269477,868313067503,,,,492304136849,
899674233511,900723465321,192078983436,,,,999336296770,
648976485273,650575971978,320212307155,,,,180740143165,
955676041153,680430497250,153373641441,,,,368787933595,
601151767291,420302201393,927413159035,,,,714043371287,
359242698938,103415144298,503085088661,,,,229285000668,
683143263091,201606699001,779568921074,,,,665361833389,
470448438538,918989537174,589737888288,,,,305909217956,
178937530266,956765471643,526974721600,,,,393225944202,
205780555422,336894184664,958283914508,,,,742637798041,
360954519786,598548217134,290525363590,,,,311732067667,
557317654855,874973512374,342175719469,,,,632654705462,
860045883191,546305473660,811385074124,,,,916252799486,
145686948341,106709464739,889290826636,,,,751805665586,
936691359280,153300579266,203654805584,,,,968929061752,
803651036913,282687918753,403887722546,,,,278513078952,
498443595236,428052635010,631443596080,,,,278295043941,
558011044605,979250404468,999770011471,,,,455629771523,
344572573299,575248086556,174934140764,,,,833304432970,
462051433913,750859972296,122264276343,,,,609767594399,
190966219612,678351705398,305209835072,,,,820880623776,
597293361493,940923300543,883125236000,,,,664955094133,
947804436774,389631828434,540007111015,,,,194552088300,
348404934649,840274159570,206352145983,,,,389419958035,
102687778773,635336535577,909255449372,,,,884088160852,
261049977152,134517275015,714672961859,,,,684149026597,
915795473945,383110056258,635641814319,,,,653019268428,
197016334305,389411076734,706555316217,,,,210428163239,
122727107055,548456357391,579761946968,,,,229285000668,
693647773709,219533502495,155195112921,,,,266517453054,
814323827208,584284921851,950013229356,,,,420091296401,
797693812357,803146064680,883839968471,,,,771846185925,
392010714817,276655220296,982451364051,,,,305909217956,
281323228289,453747842444,889886875916,,,,584184694094,
319710668874,261347688539,917022477807,,,,305909217956,
447505542748,128487246900,533921359048,,,,990532316216,
918138634140,597671725493,938698852526,,,,490596013736,
709546555365,493993344794,654248241349,,,,509140263168,
281323228289,200131751293,559986033791,,,,980650227241,
228496215148,379900271307,525234204973,,,,951343600238,
658820446250,645422269991,712242082460,,,,266517453054,
198170129605,524049571834,257981837882,,,,945797291073,
648542529820,893759116918,413537199126,,,,430322368483,
434452205892,192033379129,385618212169,,,,509140263168,
426169941195,339977646056,968745055656,,,,935505764329,
803461866641,974598004786,231266556754,,,,766369328110,
148669704513,222869437850,695148522952,,,,771846185925,
325784738402,251462567147,325235848302,,,,905255559900,
259234212979,828395651519,888359710561,,,,391392247973,
430191251234,438793399895,406842166661,,,,150986591469,
431890743781,425982699741,921576928056,,,,229285000668,
632900983552,955971635539,783632864558,,,,210428163239,
139391090181,788483496316,454945806724,,,,432967707278,
444264598765,733815469899,113720070540,,,,270517684727,
913597289090,997290474224,226247080851,,,,766369328110,
660734142671,768668681363,552462937663,,,,799147939386,
593661142708,290598274654,684682183866,,,,298926978238,
420251803741,826092787311,469132662282,,,,684149026597,
265873501440,157115297342,178976301136,,,,686814503319,
513877491641,235665630848,221406336331,,,,832750832034,
803651036913,281424320729,802891376478,,,,503701780032,
853981362810,932423276451,109617836060,,,,789953330835,
321254471786,312369217633,516470255028,,,,895777633332,
